match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T207400,GT Vs LSG,LSG,MohsinKhan,4,0,18,1,4.5,10,1,0,0,0
T207400,GT Vs LSG,LSG,DushmanthaChameera,4,0,34,0,8.5,10,6,0,2,0
T207400,GT Vs LSG,LSG,AveshKhan,4,0,26,2,6.5,8,3,0,1,0
T207400,GT Vs LSG,LSG,KrunalPandya,4,0,24,0,6,5,1,0,0,0
T207400,GT Vs LSG,LSG,JasonHolder,4,0,41,1,10.25,5,4,1,3,0
T207400,GT Vs LSG,GT,MohammedShami,3,0,5,1,1.66,14,0,0,1,0
T207400,GT Vs LSG,GT,HardikPandya,1,0,8,0,8,2,1,0,0,0
T207400,GT Vs LSG,GT,YashDayal,2,0,24,2,12,5,4,1,0,0
T207400,GT Vs LSG,GT,AlzarriJoseph,2,0,14,0,7,4,2,0,0,0
T207400,GT Vs LSG,GT,RashidKhan,3.5,0,24,4,6.26,11,0,2,2,0
T207400,GT Vs LSG,GT,SaiKishore,2,0,7,2,3.5,5,0,0,0,0
T203087,KKR Vs MI,MI,DanielSams,4,0,26,1,6.5,13,0,2,3,0
T203087,KKR Vs MI,MI,MuruganAshwin,4,0,35,1,8.75,10,3,2,1,0
T203087,KKR Vs MI,MI,JaspritBumrah,4,1,10,5,2.5,18,1,0,0,0
T203087,KKR Vs MI,MI,RileyMeredith,3,0,35,0,11.66,6,4,1,1,0
T203087,KKR Vs MI,MI,KumarKartikeya,3,0,32,2,10.66,8,2,3,0,0
T203087,KKR Vs MI,MI,KieronPollard,2,0,26,0,13,3,2,2,1,0
T203087,KKR Vs MI,KKR,TimSouthee,3,0,10,1,3.33,13,1,0,0,0
T203087,KKR Vs MI,KKR,PatCummins,4,0,22,3,5.5,11,2,0,1,0
T203087,KKR Vs MI,KKR,AndreRussell,2.3,0,22,2,8.8,6,4,0,0,0
T203087,KKR Vs MI,KKR,SunilNarine,4,0,21,0,5.25,9,0,1,1,0
T203087,KKR Vs MI,KKR,VarunChakravarthy,3,0,22,1,7.33,6,1,1,0,0
T203087,KKR Vs MI,KKR,VenkateshIyer,1,0,8,0,8,1,1,0,0,0
